"id";"table_id";"filename";"cropped_filename";"table_name";"type";"is_cover";"created_at";"updated_at"
"105";"40";"1580657120608_copertpaolo.jpg";NULL;"NEWS";"IMAGE";"1";"2020-02-02 14:27:18";"2020-02-02 14:27:26"
"107";"41";"1580659831602_coptincani_in concerto.jpg";NULL;"NEWS";"IMAGE";"1";"2020-02-02 15:12:27";"2020-02-02 15:12:31"
"108";"41";"1580659844084_concerto_semprini tincani.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-02 15:12:48";"2020-02-02 15:12:48"
"109";"41";"1580659863887_foto_171219.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-02 15:13:07";"2020-02-02 15:13:07"
"110";"42";"1580664680420_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-02-02 16:31:20";"2020-02-02 16:31:24"
"111";"42";"1580664693827_5_febbraio castelnovo  b 1.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-02 16:31:35";"2020-02-02 16:31:35"
"112";"43";"1580996900893_copcast.jpg";NULL;"NEWS";"IMAGE";"1";"2020-02-06 12:48:20";"2020-02-06 12:48:26"
"113";"43";"1580996917813_dsc0401.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-06 12:48:38";"2020-02-06 12:48:38"
"114";"43";"1580996926089_dsc0405.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-06 12:48:46";"2020-02-06 12:48:46"
"115";"44";"1581176317225_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-02-08 14:40:37";"2020-02-08 14:40:41"
"116";"45";"1581792310616_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-02-15 17:47:18";"2020-02-15 17:47:23"
"117";"45";"1581792335178_incontro_cattolici e politica con vescovo.jpg";NULL;"NEWS";"FILE";"0";"2020-02-15 17:48:08";"2020-02-15 17:48:08"
"118";"46";"1582279906141_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-02-21 09:13:55";"2020-02-21 09:13:59"
"119";"46";"1582279917741_dsc0872.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-21 09:14:17";"2020-02-21 09:14:17"
"120";"46";"1582279938106_dsc0881.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-21 09:14:33";"2020-02-21 09:14:33"
"121";"47";"1582563190544_cop.jpg";NULL;"NEWS";"IMAGE";"1";"2020-02-24 15:53:10";"2020-02-24 15:53:14"
"122";"47";"1582563216668_dsc0981.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:53:37";"2020-02-24 15:53:37"
"123";"47";"1582563224432_dsc0993.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:53:45";"2020-02-24 15:53:45"
"124";"47";"1582563231783_dsc0984.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:53:52";"2020-02-24 15:53:52"
"125";"47";"1582563240144_dsc1023.jpg";NULL;"NEWS";"IMAGE";"0";"2020-02-24 15:54:00";"2020-02-24 15:54:00"
